,web-scraper-order,brand,name_details_raw,ps,km,reg_year,price,gear_type,ps_cat,fuel_type_benzin,fuel_type_diesel,fuel_type_elektro,address,lat,lon
201,1704382459-254,RENAULT,Mégane Grandtour 1.2 16V Turbo Bose EDC,131.0,90600.0,2014.0,11900,Automat,0 - 249,1,0,0,"Wässeristrasse 12, 8340 Hinwil",47.30478286743164,8.825931549072266
207,1704382479-261,VW,ID.3 Pro Performance 58 kWh Pro,204.0,49800.0,2021.0,29900,Automat,0 - 249,0,0,1,"Hauptstrasse 99, 4450 Sissach",47.46461868286133,7.809111595153809
208,1704382482-262,LAND,Discovery 3.0 i6 360 R-Dynamic HSE AWD Automatic,361.0,2750.0,2022.0,95900,Automat,250 - 599,1,0,0,"Rhynerstrasse 56, 8712 Stäfa",47.24648284912109,8.73927116394043
210,1704382489-265,SUZUKI,Vitara 1.4 Boosterjet Piz Sulai Top,140.0,64000.0,2017.0,19900,Manuell,0 - 249,1,0,0,"route du Simplon 19, 1902 Evionnaz",46.16787338256836,7.025582313537598
211,1704382497-268,OPEL,Corsa 1.2 TP Edition,75.0,350.0,2023.0,18900,Manuell,0 - 249,1,0,0,"Schaffhauserstrasse 70, 8451 Kleinandelfingen",47.604488372802734,8.688237190246582
212,1704382499-269,MERCEDES-BENZ,A 180 Edition 7G-DCT,136.0,21000.0,2019.0,27200,Automat,0 - 249,1,0,0,"Hauptstrasse 2A, 5502 Hunzenschwil",47.38727951049805,8.13478946685791
215,1704382510-272,LAND,Defender 110 525 V8 5.0 AT8,525.0,5600.0,2023.0,126900,Automat,250 - 599,1,0,0,"Rhynerstrasse 56, 8712 Stäfa",47.24648284912109,8.73927116394043
216,1704382517-275,TOYOTA,Aygo 1.0 VVT-i Trend MultiMode,69.0,122000.0,2017.0,7300,Manuell,0 - 249,1,0,0,"Grabs, 9472 Grabs",47.1756477355957,9.450772285461426
217,1704382520-276,CHEVROLET,Corvette 5.7 LT1 Convert.,306.0,110000.0,1992.0,14500,Automat,250 - 599,1,0,0,"Bachstrasse 10, 8362 Balterswil TG",47.43853378295898,8.944615364074707
218,1704382522-277,MERCEDES-BENZ,GLA 250 AMG Line 4Matic 7G-DCT,211.0,123500.0,2018.0,21900,Automat,0 - 249,1,0,0,"Chemin de la Rosière, 17, 1012 Lausanne",46.52104568481445,6.656445503234863
219,1704382525-278,BMW,X3 xDrive 35d Steptronic,313.0,232000.0,2013.0,16500,Automat,250 - 599,0,1,0,"Veilchenweg 19a, 3930 Visp",46.30112457275391,7.866949558258057
222,1704382536-281,VOLVO,C30 T5 Momentum,230.0,285000.0,2009.0,3700,Manuell,0 - 249,1,0,0,"Münstergasse 15, 8200 Schaffhausen",47.69580078125,8.634696960449219
223,1704382539-282,PEUGEOT,208 1.2 PureTech Style,82.0,71400.0,2017.0,10000,Manuell,0 - 249,1,0,0,"2 Chemin du Chêne, 1053 Bretigny sur morrens",46.59816360473633,6.642411231994629
224,1704382541-283,JEEP,Grand Cherokee 6.4 V8 HEMI SRT8 Automatic,468.0,76000.0,2021.0,57000,Automat,250 - 599,1,0,0,"Rietenbergstrasse 6, 5607 Hägglingen",47.39029693603516,8.247021675109863
226,1704382546-285,MERCEDES-BENZ,GLE 350 d 4Matic 9G-Tronic,258.0,70000.0,2018.0,44800,Automat,250 - 599,0,1,0,"Schulstrasse 31, 8248 Uhwiesen",47.6725959777832,8.62949275970459
230,1704382556-289,VW,T-Roc 2.0 TSI Advance DSG 4Motion,190.0,76000.0,2018.0,23900,Automat,0 - 249,1,0,0,"Schäracher 1, 6232 Geuensee",47.19301986694336,8.112191200256348
